    tprime_i    fprime_i    tprime_e          ky       omega       gamma       omlin       gmlin      omlina      gmlina      omquad      gmquad     omquada     gmquada
  0.5000E+02  0.1000E+02  0.5000E+02  0.1000E+00 -0.3330E+00  0.2986E+00 -0.8663E+00  0.0000E+00 -0.9313E+00  0.0000E+00 -0.4332E+00  0.4445E+00 -0.4332E+00  0.4445E+00
 
  0.5000E+02  0.1000E+02  0.5000E+02  0.1000E+00 -0.3330E+00  0.2986E+00 -0.8663E+00  0.0000E+00 -0.9313E+00  0.0000E+00 -0.4332E+00  0.4445E+00 -0.4332E+00  0.4445E+00
 
  0.5000E+02  0.1000E+02  0.5000E+02  0.1000E+00 -0.3330E+00  0.2986E+00 -0.8663E+00  0.0000E+00 -0.9313E+00  0.0000E+00 -0.4332E+00  0.4445E+00 -0.4332E+00  0.4445E+00
 
  0.5000E+02  0.1000E+02  0.5000E+02  0.1000E+00 -0.3330E+00  0.2986E+00 -0.8663E+00  0.0000E+00 -0.9313E+00  0.0000E+00 -0.4332E+00  0.4445E+00 -0.4332E+00  0.4445E+00
 
  0.5000E+02  0.1000E+02  0.5000E+02  0.1000E+00 -0.3330E+00  0.2986E+00 -0.8663E+00  0.0000E+00 -0.9313E+00  0.0000E+00 -0.4332E+00  0.4445E+00 -0.4332E+00  0.4445E+00
 
  0.5000E+02  0.1000E+02  0.5000E+02  0.1000E+00 -0.3330E+00  0.2986E+00 -0.8663E+00  0.0000E+00 -0.9313E+00  0.0000E+00 -0.4332E+00  0.4445E+00 -0.4332E+00  0.4445E+00
 
  0.5000E+02  0.1000E+02  0.5000E+02  0.2000E+00 -0.4821E+00  0.7441E+00 -0.1367E+01  0.0000E+00 -0.1480E+01  0.0000E+00 -0.6833E+00  0.9556E+00 -0.6833E+00  0.9556E+00
 
  0.5000E+02  0.1000E+02  0.5000E+02  0.2000E+00 -0.4821E+00  0.7441E+00 -0.1367E+01  0.0000E+00 -0.1480E+01  0.0000E+00 -0.6833E+00  0.9556E+00 -0.6833E+00  0.9556E+00
 
  0.5000E+02  0.1000E+02  0.5000E+02  0.2000E+00 -0.4821E+00  0.7441E+00 -0.1367E+01  0.0000E+00 -0.1480E+01  0.0000E+00 -0.6833E+00  0.9556E+00 -0.6833E+00  0.9556E+00
 
  0.5000E+02  0.1000E+02  0.5000E+02  0.2000E+00 -0.4821E+00  0.7441E+00 -0.1367E+01  0.0000E+00 -0.1480E+01  0.0000E+00 -0.6833E+00  0.9556E+00 -0.6833E+00  0.9556E+00
 
  0.5000E+02  0.1000E+02  0.5000E+02  0.2000E+00 -0.4821E+00  0.7441E+00 -0.1367E+01  0.0000E+00 -0.1480E+01  0.0000E+00 -0.6833E+00  0.9556E+00 -0.6833E+00  0.9556E+00
 
  0.5000E+02  0.1000E+02  0.5000E+02  0.2000E+00 -0.4821E+00  0.7441E+00 -0.1367E+01  0.0000E+00 -0.1480E+01  0.0000E+00 -0.6833E+00  0.9556E+00 -0.6833E+00  0.9556E+00
 
  0.5000E+02  0.1000E+02  0.5000E+02  0.3000E+00 -0.3370E+00  0.1269E+01 -0.1283E+01  0.0000E+00 -0.1394E+01  0.0000E+00 -0.6416E+00  0.1479E+01 -0.6416E+00  0.1479E+01
 
  0.5000E+02  0.1000E+02  0.5000E+02  0.3000E+00 -0.3370E+00  0.1269E+01 -0.1283E+01  0.0000E+00 -0.1394E+01  0.0000E+00 -0.6416E+00  0.1479E+01 -0.6416E+00  0.1479E+01
 
  0.5000E+02  0.1000E+02  0.5000E+02  0.3000E+00 -0.3370E+00  0.1269E+01 -0.1283E+01  0.0000E+00 -0.1394E+01  0.0000E+00 -0.6416E+00  0.1479E+01 -0.6416E+00  0.1479E+01
 
  0.5000E+02  0.1000E+02  0.5000E+02  0.3000E+00 -0.3370E+00  0.1269E+01 -0.1283E+01  0.0000E+00 -0.1394E+01  0.0000E+00 -0.6416E+00  0.1479E+01 -0.6416E+00  0.1479E+01
 
  0.5000E+02  0.1000E+02  0.5000E+02  0.3000E+00 -0.3370E+00  0.1269E+01 -0.1283E+01  0.0000E+00 -0.1394E+01  0.0000E+00 -0.6416E+00  0.1479E+01 -0.6416E+00  0.1479E+01
 
  0.5000E+02  0.1000E+02  0.5000E+02  0.3000E+00 -0.3370E+00  0.1269E+01 -0.1283E+01  0.0000E+00 -0.1394E+01  0.0000E+00 -0.6416E+00  0.1479E+01 -0.6416E+00  0.1479E+01
 
  0.5000E+02  0.1000E+02  0.5000E+02  0.4000E+00  0.1102E+00  0.1724E+01 -0.6067E+00  0.0000E+00 -0.6304E+00  0.0000E+00 -0.3033E+00  0.1882E+01 -0.3033E+00  0.1882E+01
 
  0.5000E+02  0.1000E+02  0.5000E+02  0.4000E+00  0.1102E+00  0.1724E+01 -0.6067E+00  0.0000E+00 -0.6304E+00  0.0000E+00 -0.3033E+00  0.1882E+01 -0.3033E+00  0.1882E+01
 
  0.5000E+02  0.1000E+02  0.5000E+02  0.4000E+00  0.1102E+00  0.1724E+01 -0.6067E+00  0.0000E+00 -0.6304E+00  0.0000E+00 -0.3033E+00  0.1882E+01 -0.3033E+00  0.1882E+01
 
  0.5000E+02  0.1000E+02  0.5000E+02  0.4000E+00  0.1102E+00  0.1724E+01 -0.6067E+00  0.0000E+00 -0.6304E+00  0.0000E+00 -0.3033E+00  0.1882E+01 -0.3033E+00  0.1882E+01
 
